FAC,Hospital_Name,n1k_Patient Care Excellence,n1k_Organizational Culture & Governance,n1k_Population & Community Health,n1k_Workforce Sustainability,n1k_Health Equity & Social Accountability,n1k_Integration & Partnerships,n1k_Access & Capacity,n1k_Digital Health & Innovation,n1k_Financial Sustainability,n1k_Infrastructure & Environment,"n1k_Research, Education & Academics",n_directions,prev_Patient Care Excellence,prev_Organizational Culture & Governance,prev_Population & Community Health,prev_Workforce Sustainability,prev_Health Equity & Social Accountability,prev_Integration & Partnerships,prev_Access & Capacity,prev_Digital Health & Innovation,prev_Financial Sustainability,prev_Infrastructure & Environment,"prev_Research, Education & Academics"
955,Grey Bruce Health Services,7.63,22.9,11.45,11.45,15.27,22.9,0,11.45,0,3.82,15.27,4,0.5,0.75,0.5,0.5,0.75,0.5,0,0.5,0,0.25,0.5
957,Quinte Health,25.64,12.82,17.09,29.91,17.09,17.09,4.27,8.55,0,8.55,4.27,4,0.75,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0,0.25,0.25
958,The Ottawa Hospital L'Hôpital d'Ottawa,11.38,15.65,18.49,7.11,22.76,18.49,8.53,15.65,5.69,8.53,8.53,4,1,1,0.75,0.5,0.5,0.75,0.5,1,0.5,0.75,0.5
959,Health Sciences North,25.09,12.54,12.54,14.34,21.51,12.54,10.75,3.58,8.96,5.38,10.75,5,0.8,0.8,1,0.4,0.8,0.8,0.6,0.4,0.2,0.6,0.2
961,UNIVERSITY OF OTTAWA HEART INSTITUTE,22.56,7.52,10.03,2.51,7.52,5.01,2.51,22.56,2.51,10.03,2.51,4,0.5,0.5,0.25,0.25,0.25,0.5,0.25,0.5,0.25,0.75,0.25
962,Niagara Health,17.76,5.33,5.33,26.64,14.21,8.88,8.88,7.1,0,8.88,3.55,3,0.667,0.333,0.667,1,0.333,0.667,1,0.667,0,1,0.333
964,SIOUX LOOKOUT Meno Ya Win HEALTH CENTRE,25.93,11.11,0,11.11,51.85,18.52,11.11,18.52,11.11,11.11,3.7,7,0.286,0.286,0,0.286,0.571,0.429,0.429,0.143,0.286,0.286,0.143
965,Sault Area Hospital,15.59,11.14,15.59,11.14,17.82,15.59,8.91,2.23,8.91,4.45,8.91,3,1,0.667,1,1,0.333,0.667,0.667,0.333,0.333,0.667,0.667
967,Cornwall Community Hospital,38.46,25.64,0,12.82,64.1,76.92,38.46,25.64,12.82,38.46,0,3,0.333,0.667,0,0.333,0.333,0.667,0.667,0.667,0.333,0.667,0
969,Ontario Shores Centre for Mental Health Sciences,10.64,5.32,5.32,15.96,21.28,42.55,15.96,15.96,0,5.32,0,3,0.333,0.333,0.333,0.333,0.667,1,0.667,0.333,0,0.333,0
970,Brant Community Healthcare System,36.73,12.24,14.29,10.2,38.78,16.33,4.08,14.29,8.16,10.2,6.12,4,1,0.5,0.5,0.25,1,0.5,0.5,0.75,0.25,0.25,0.25
971,St. Joseph's Health Centre Of Sudbury,30.86,12.35,12.35,24.69,43.21,0,0,0,0,0,6.17,4,0.75,0.5,0.25,0.25,0.25,0,0,0,0,0,0.25
972,Waypoint CENTRE for MENTAL HEALTH CARE,18.52,23.15,23.15,4.63,13.89,23.15,9.26,32.41,0,9.26,23.15,4,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.75,0,0.5,0.5
973,Weeneebayko Area Health Authority,18.48,6.93,2.31,9.24,0,2.31,11.55,16.17,13.86,18.48,9.24,5,0.8,0.6,0.2,0.4,0,0.2,0.6,0.8,0.4,0.6,0.8
974,North Bay Regional Health Centre,76.92,76.92,38.46,0,0,76.92,0,76.92,76.92,0,0,5,0.4,0.4,0.2,0,0,0.2,0,0.2,0.2,0,0
975,Trillium Health partners,39.63,16.32,27.97,9.32,16.32,13.99,6.99,34.97,0,9.32,13.99,4,1,0.75,1,0.5,0.5,0.25,0.25,0.75,0,0.75,0.75
976,Sinai Health,38.82,9.32,3.11,7.76,3.11,13.98,12.42,9.32,12.42,6.21,7.76,4,1,0.75,0.25,0.5,0.25,0.75,0.75,0.75,0.5,0.5,0.5
977,NORTH OF SUPERIOR HEALTHCARE GROUP,18.52,15.43,15.43,21.6,12.35,15.43,9.26,0,9.26,15.43,6.17,4,0.75,1,0.75,0.5,0.5,0.25,0.75,0,0.25,0.25,0.5
978,Kingston Health Sciences Centre,22.92,8.6,2.87,8.6,11.46,11.46,8.6,5.73,0,2.87,17.19,5,0.6,0.4,0.2,0.4,0.2,0.8,0.4,0.2,0,0.2,0.4
979,SCARBOROUGH HEALTH NETWORK,61.73,24.69,24.69,12.35,24.69,24.69,0,24.69,0,0,12.35,5,0.4,0.2,0.2,0.2,0.4,0.2,0,0.4,0,0,0.2
980,UNITY HEALTH TORONTO,23.09,11.55,5.77,8.08,4.04,12.12,3.46,16.17,2.89,3.46,10.39,9,0.889,0.889,0.556,0.889,0.444,0.778,0.444,0.778,0.222,0.333,0.667
981,CHATHAM-KENT Health Alliance,41.67,0,20.83,13.89,13.89,6.94,20.83,0,0,6.94,6.94,6,0.5,0,0.333,0.333,0.333,0.167,0.333,0,0,0.167,0.167
982,BLANCHE RIVER HEALTH,12.5,10.42,5.56,4.86,4.17,11.11,8.33,13.89,6.25,7.64,2.08,6,0.833,0.667,0.5,0.333,0.667,1,1,0.833,0.667,0.667,0.333
983,HURON PERTH HEALTHCARE ALLIANCE,25.89,17.8,17.8,1.62,11.33,19.42,14.56,19.42,8.09,8.09,1.62,3,1,1,0.667,0.333,1,0.667,1,0.667,0.667,1,0.333
